trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-180.62642259896745,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-250.6919476530452,"{0: 15, 1: 3, 2: 12, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-150.25682442043947,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-82.61363565249704,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-107.91322753586563,"{0: 18, 1: 1, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-36.763460424953855,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-243.36808061516732,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.3011647669713,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,12,-46.36613688202773,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-63.60085123190881,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-2.9627504680239114,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,12,-99.01812575210094,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,18,-66.0843301574726,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,-44.82589356641844,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,15,-11.548426118984107,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-52.06942488716864,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-3.8226312629534345,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-44.56152168514996,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-27.796090636160553,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-75.47379620589739,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': -0.05}",25,8,26.084801510921924,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': -0.05}",20,3,-12.773481700455505,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': -0.05}",25,10,10.158769111981663,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': -0.05}",20,0,3.421254943358004,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': -0.05}",20,0,-37.194395155932334,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': -0.05}",30,9,25.284814491792662,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': -0.05}",20,0,-2.1199537550756267,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': -0.05}",25,10,17.50768098975358,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': -0.05}",30,0,-22.990984545661266,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': -0.05}",30,3,-127.18649974551114,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 4}",1
