trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-241.2223137442191,"{0: 13, 1: 3, 2: 8, 3: 4, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-107.68262826111237,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-91.8696640410368,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-38.75107050474082,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-71.13030414879393,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-48.4756235241729,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,3,-141.24830669180002,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-122.43564959049927,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-91.39435568715034,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-170.65826445895019,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",35,0,-348.0256303356093,"{0: 18, 1: 7, 2: 2, 3: 0, 4: 8}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-133.09922209744695,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-136.3772708094138,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-61.488041563960806,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-22.129992025328917,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-129.68387808982078,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-118.97604625024594,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-179.40878391023392,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-90.46228432024043,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-85.82300579377026,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-162.12086086015748,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-118.75011653274967,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-121.28196989632049,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-87.96516973026361,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-100.46473238576493,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",35,0,-161.46198612747355,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-33.8858466769294,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,6,-82.31511083668425,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-22.165912683784835,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-118.55247230472905,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-86.77720800483407,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-69.13839994309065,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-83.36720306816025,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",30,0,-225.54893726219777,"{0: 14, 1: 2, 2: 9, 3: 3, 4: 2}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-102.14458356828041,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-100.08677125042492,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",25,0,-45.20756245083818,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,1,-105.40317106537714,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",30,0,-153.07583414314348,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",25,0,-103.80523154032383,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,0,-71.16563505175246,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-55.125078165985656,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-76.58517810922552,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,0,-64.6501646569381,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-179.41651432590808,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",30,17,-36.39874646969254,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",30,3,-157.63215884003708,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 3}",1
48,False,"{'a': 0.002, 'e': 0.910282762240767}",30,0,-158.4600967200678,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-59.97635622170122,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-46.62813909017717,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,18,-7.7011214853383585,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-86.09911282806732,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-120.52026704759513,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-143.41697756431242,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,2,-107.1326320665591,"{0: 9, 1: 2, 2: 3, 3: 4, 4: 0}",1
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",20,0,-53.077927534076025,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,0.24633909456355663,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-78.19924462045236,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",30,0,-195.50607981172772,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",30,0,-125.31907745568174,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-125.84650124473767,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,7,-68.13858223579861,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",30,0,-281.17057752780977,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 5}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,9,-16.168462321044025,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",30,0,-75.97390148100286,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-186.6424372279314,"{0: 16, 1: 2, 2: 1, 3: 3, 4: 3}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,2,-109.15149256295004,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-104.39782398693913,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-148.9370409375771,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-144.62999940691574,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",30,0,-108.15263021143224,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,6,-51.150521819318826,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-27.187294379771192,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-82.82655902931485,"{0: 14, 1: 0, 2: 2, 3: 4, 4: 0}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-138.01882009639777,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,0,-85.14453893444278,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-77.3359869553438,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-43.591736835360486,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-111.49291812258092,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",30,0,-296.57829966459775,"{0: 18, 1: 1, 2: 1, 3: 5, 4: 5}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,0,-46.15567709008801,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",20,0,-176.35744952970842,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-140.31392841491336,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-88.64108340110845,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,0,-26.389691152983296,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",30,0,-167.96788347854172,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
