trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.89450504355577,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.3481393661948,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.38873242520404,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.14301206391306,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-277.9079142165516,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.56221044748008,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,18,-8.17972527594472,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.5343941497,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.4929720869346,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.20942587123332,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.6350814356403,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.23125326260926,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.255186136429124,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.6556827457871,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.48230441846249,"{0: 20, 1: 6, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.88904174591823,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.60436377462993,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.5652630650173,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.45890203354932,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.0064021259021,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.27186423909768,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.13805962276228,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.6840810229472,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.64016598569759,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.47251230167963,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,3,-90.54520135638703,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.05561484057436,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.96993767168678,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.4939781526552,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.81742935352253,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
